titre;sous_titre;description;cat;sous_cat;link;link_title;lieu;img;img_alt;date
Clavecin Giovanni Antonio Baffo;;;Claviers;;./0160603-clavecin-giovanni-antonio-baffo.aspx; Description du clavecin Giovanni Antonio Baffo - Vers 1579;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000010900/160603_CMIM000023996_235X235.jpg;Photographie de Clavecin Giovanni Antonio Baffo;
Clavecin Jean-Claude Goujon;;;Claviers;;./0158208-clavecin-jean-claude-goujon.aspx; Description du clavecin jean-Claude Goujon (Avant 1749) - Ravalé par Jacques Joachim Swanen en 1784;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000000200/CMIM000023622_230x230.jpg;Photographie de Clavecin Jean-Claude Goujon;
Clavecin Andréas Ruckers & Pascal Taskin;;;Claviers;;./0162260-clavecin-ruckers-taskin.aspx; Description du clavecin de Andreas Ruckers de 1646. Ravalé par Pascal Taskin en 1780;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000006200/CMIM000023601_230x230.jpg;Photographie de Clavecin Andréas Ruckers & Pascal Taskin;
Clavecin Ioannes Couchet;;;Claviers;;./0772585-clavecin-ioannes-couchet.aspx; Description du clavecin de Ioannes Couchet de 1652;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000006300/CMIM00027405_230x230.jpg;Photographie de Clavecin Ioannes Couchet;
Clavecin Vincent Tibaut;;;Claviers;;./0160632-clavecin-vincent-tibaut.aspx; Description du clavecin de Vincent Tibaut de 1691;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000004200/CMIM000023730_230x230.jpg;Photographie de Clavecin Vincent Tibaut;
Clavecin Jean Henry Hemsch;;;Claviers;;./0162244-clavecin-de-jean-henry-hemsch.aspx; Description du clavecin de Jean Henry Hemsch de 1761;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000010400/162244_CMIM000023877_235x235.jpg;Photographie de Clavecin Jean Henry Hemsch;
Clavicorde lié;;;Claviers;;./0162212-clavicorde-lie.aspx; Description du clavicorde lié - XVIIIe siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000006100/CMIM000023532_230x230.jpg;Photographie de Clavicorde lié;
Clavicorde lié dit"de lépante";;;Claviers;;./0161358-clavicorde-lie-dit-de-lepante.aspx; Description du clavicorde lié dit de Lépante - Vers la fin du XVIe siècle ?;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000004900/CMIM00023441_230x230.jpg;Photographie de Clavicorde lié dit"de lépante";
orgue électromécanique Hammond;;;Claviers;;./0158215-orgue-electromecanique-hammond-modele-a.aspx; Description de l'orgue électromécanique Hammond, Modèle A de 1935;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000011100/158215_CMIM000029536_235x235.jpg;Photographie de orgue électromécanique Hammond;
Orgue Jean-Baptiste Jérémie Schweickart;;;Claviers;;./0992754-orgue-jean-baptiste-jeremie-schweickart.aspx; Description de l'orgue de Jean-Baptiste Jérémie Schweickart de 1784;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000006700/CMIM000029263_230x230.jpg;Photographie de Orgue Jean-Baptiste Jérémie Schweickart;
