titre;sous_titre;description;cat;sous_cat;link;link_title;lieu;img;img_alt;date
Orchestre Gamelan;;;Percussions;;./0156481-orchestre-gamelan.aspx; Description de l'orchestre Gamelan - Avant 1887;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000000800/CMIM00015875_230x230.jpg;Photographie de Orchestre Gamelan;
xylophone Marimba;;;Percussions;;./0160072-xylophone-marimba-reynaldo-gutierrez.aspx; Description du xylophone Marimba - Vers 1950;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000003800/CMIM00023631_230x230.jpg;Photographie de xylophone Marimba;
Orchestre Steel Band;;;Percussions;;./1005498-steel-band-pan-2000-and-beyond.aspx; Description de l'orchestre Steel Band - XXIe siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000007000/CMIM000032281_230x230.jpg;Photographie de Orchestre Steel Band;
Tabla;;;Percussions;;./0787875-tabla.aspx; Description du tabla - XIXe siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000007100/CMIM000027637_230x230.jpg;Photographie de Tabla;
Tambour sur pied Bulup;;;Percussions;;./0156750-tambour-sur-pied-bulup.aspx; Description du tambour sur pied bulup - Début XXe Siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000007800/CMIM000023338_230x230.jpg;Photographie de Tambour sur pied Bulup;
Tambour à fente Gugu;;;Percussions;;./0158909-tambour-a-fente-gugu-ou-gulu.aspx; Description du Tambour à fente Gugu - Début XXe siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000007300/CMIM000018290_230x230.jpg;Photographie de Tambour à fente Gugu;
Tambour de poitrine Nfunkula;;;Percussions;;./0158746-tambour-de-poitrine-nfunkula.aspx; Description du Tambour de poitrine Nfunkula - Deuxième moitié du XIXe siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000007400/CMIM000015518_230x230.jpg;Photographie de Tambour de poitrine Nfunkula;
Timbale;;;Percussions;;./0156746-timbale.aspx; Description de la Timbale - Début XXE Siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000007900/CMIM000023431_230x230.jpg;Photographie de Timbale;
Accordéon chromatique Hohner-Morino;;;Vents;;./0818063-accordeon-chromatique-hohner-morino.aspx; Description de l'accordéon chromatique Hohner-Morino - Vers 1950;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000006400/CMIM000_230x230.jpg;Photographie de Accordéon chromatique Hohner-Morino;
Cor de basset d'amour;;;Vents;;./0158843-cor-de-basset-damour.aspx; Description du cor de basset d'amour - Fin 
    XVIIIe siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000002800/CMIM000011034_230x230.jpg;Photographie de Cor de basset d'amour;
Cor de Lucien Joseph Raoux;;;Vents;;./0157785-cor-lucien-joseph-raoux.aspx; Description du cor de Lucien Joseph Raoux de 1821;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000001600/CMIM000020066_230x230.jpg;Photographie de Cor de Lucien Joseph Raoux;
Cor vocal en ut de François Millereau;;;Vents;;./0898349-cor-vocal-en-ut-francois-millereau.aspx; Description du cor vocal en ut de François Millereau - Vers 1878;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000006500/CMIM00027998_230x230.jpg;Photographie de Cor vocal en ut de François Millereau;
Cornet à bouquin ténor;;;Vents;;./0161107-cornet-a-bouquin-tenor.aspx; Description du cornet à bouquin ténor - Milieu du XVIe siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000004600/CMIM00015045_235x235.jpg;Photographie de Cornet à bouquin ténor;
Cornet à bouquin en la;;;Vents;;./0161425-cornet-a-bouquin-en-la.aspx; Description du cornet à bouquin en la - Fin du XVIe siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000005000/CMIM000011035_230x230.jpg;Photographie de Cornet à bouquin en la;
Flûtes colonnes;;;Vents;;./0161966-flutes-colonnes-hans-rauch-von-schratt.aspx; Description des flûtes colonnes - XVIe siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000005600/CMIM00015042_230x230.jpg;Photographie de Flûtes colonnes;
Flûte traversière de Claude Laurent;;;Vents;;./0161513-flute-traversiere-claude-laurent.aspx; Description de la flûte traversière de Claude Laurent de 1820;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000005100/CMIM000013393_230x230.jpg;Photographie de Flûte traversière de Claude Laurent;
Saxophone alto de Georges Leblanc;;;Vents;;./0158032-saxophone-alto-georges-leblanc.aspx; Description du saxophone alto de Georges Leblanc - Après 1931;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000002100/CMIM000027648_230x230.jpg;Photographie de Saxophone alto de Georges Leblanc;
Saxophone ténor de Adolphe Edouard Sax;;;Vents;;./0158034-saxophone-tenor-en-do-adolphe-edouard-sax.aspx; Description du saxophone ténor de Adolphe-Edouard Sax - Entre 1907 et 1928;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000002200/CMIM00027647_230x230.jpg;Photographie de Saxophone ténor de Adolphe Edouard Sax;
Serpent de Jean-baptiste Coeffet;;;Vents;;./0158853-serpent-jean-baptiste-coeffet.aspx; Description du serpent de Jean-baptiste Coeffet - Vers 1830;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000003000/CMIM000029918_230x230.jpg;Photographie de Serpent de Jean-baptiste Coeffet;
